codigo,instalacao,coordenadas,operador
COV,Terminal Coveñas,"9.409136280745889, -75.70015297027714",Ocensa
LAG,Estacion La Granjita,"8.449501151686118, -75.50994443266501",Ocensa
CAU,Planta Caucasia,"7.976933967792115, -75.22089861123531",ODC
CHI,Estacion Chiquillo,"6.849724465710438, -74.48568700509468",Ocensa
VAS,Estación Vasconia,"6.066431800297201, -74.55827667262115",CENIT
LAB,ESTACIÓN LA BELLEZA,"5.840039734738277, -73.9661266490697",Ocensa
MIR,Estación Miraflores,"5.1870136777382045, -73.16287230331245",Ocensa
PAE,Estacion Páez,"5.071094644914588, -73.06434451310464",Ocensa
ELP,Estación El Porvenir,"4.921052391552144, -72.9326776922106",Ocensa
CUS,Estacion Cusiana,"5.002134841542299, -72.705173641698",Ocensa
CUP,CPF Cupiagua,"5.2090068492098, -72.60189484354159",Ecopetrol
